board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,2,58,1,1,44,-575.452,11.2179,1,1,0
0,2,59,1,1,12,-561.311,11.4885,1,1,0
0,2,60,1,1,100,-681.985,12.7025,1,1,0
0,2,61,1,1,68,-639.101,11.4117,1,1,0
0,2,62,1,1,36,-576.408,10.5467,1,1,0
0,2,63,1,1,4,-559.261,12.7202,1,1,0
0,2,64,1,1,123,-718.34,14.63,1,1,0
0,2,65,1,1,91,-666.763,13.0842,1,1,0
0,2,66,1,1,59,-619.056,13.6336,1,1,0
0,2,67,1,1,27,-577.261,11.8576,1,1,0
0,2,68,1,1,115,-707.299,13.7393,1,1,0
0,2,69,1,1,83,-656.946,12.6529,1,1,0
0,2,70,1,1,51,-620.819,12.6607,1,1,0
0,2,71,1,1,19,-573.187,11.7689,1,1,0
0,2,72,1,1,107,-701.754,14.5117,1,1,0
0,2,73,1,1,75,-646.296,12.3789,1,1,0
0,2,74,1,1,43,-595.719,12.5746,1,1,0
0,2,75,1,1,11,-562.079,12.3254,1,1,0
0,2,76,1,1,99,-683.46,13.117,1,1,0
0,2,77,1,1,67,-633.55,12.5654,1,1,0
0,2,78,1,1,35,-584.105,11.7611,1,1,0
0,2,79,1,1,3,-547.776,12.7651,1,1,0
0,2,80,1,1,122,-711.327,14.2831,1,1,0
0,2,81,1,1,90,-658.461,12.897,1,1,0
0,2,82,1,1,58,-612.4,11.1416,1,1,0
0,2,83,1,1,26,-576.491,11.1291,1,1,0
0,2,84,1,1,114,-700.317,13.3819,1,1,0
0,2,85,1,1,82,-667.941,12.7779,1,1,0
0,2,86,1,1,50,-594.906,10.8308,1,1,0
0,2,87,1,1,18,-569.972,10.8869,1,1,0
0,2,88,1,1,106,-702.608,12.9863,1,1,0
0,2,89,1,1,74,-659.929,12.4274,1,1,0
0,2,90,1,1,42,-585.078,10.8915,1,1,0
0,2,91,1,1,10,-566.913,11.6192,1,1,0
0,2,92,1,1,98,-671.769,13.176,1,1,0
0,2,93,1,1,66,-643.182,11.6088,1,1,0
0,2,94,1,1,34,-576.66,11.01,1,1,0
0,2,95,1,1,2,-538.72,12.7869,1,1,0
0,2,96,1,1,121,-715.023,14.2963,1,1,0
0,2,97,1,1,89,-660.015,12.8131,1,1,0
0,2,98,1,1,57,-608.003,13.5104,1,1,0
0,2,99,1,1,25,-591.306,12.8097,1,1,0
0,2,100,1,1,113,-698.02,13.798,1,1,0
0,2,101,1,1,81,-649.411,12.1165,1,1,0
0,2,102,1,1,49,-609.337,12.4213,1,1,0
0,2,103,1,1,17,-580.976,11.9212,1,1,0
0,2,104,1,1,105,-687.135,14.6979,1,1,0
0,2,105,1,1,73,-633.142,13.2654,1,1,0
0,2,106,1,1,41,-594.843,12.4202,1,1,0
0,2,107,1,1,9,-569.386,12.3962,1,1,0
0,2,108,1,1,97,-701.251,12.5408,1,1,0
0,2,109,1,1,65,-630.278,13.1675,1,1,0
0,2,110,1,1,33,-590.794,11.9761,1,1,0
0,2,111,1,1,1,-534.963,13.4869,1,1,0
0,2,112,1,1,120,-706.363,13.9289,1,1,0
0,2,113,1,1,88,-654.61,12.5683,1,1,0
